time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
12308,58368,,,4,57,,,0.009146512,2.1331481891012637e-07,0.05966796875,560,-1.154002881795168,0.0003,-0.004378664307296276,-0.008910946547985077,0.2,0.2906772494316101,0.005067826086956522,2498.0,,
12412,59392,,,4,58,,,0.007297771,8.095046862990618e-05,0.05830078125,570,-1.110140223056078,0.0003,-0.004579497966915369,0.024285443127155304,0.2,0.15688830614089966,0.005067826086956522,2498.0,,
,60000,,,,,,,0.010523351,5.090793596326804e-06,0.1177734375,580,-1.1671752534806727,0.0003,-0.00145591379259713,0.023646799847483635,0.2,0.04926800727844238,,,0.0,2500.0
13774,60416,,,4,59,,,,,,,,,,,,,0.004856666666666666,2498.0833333333335,,
13879,61440,,,4,60,,,0.010529531,4.407907413961354e-07,0.1177734375,590,-1.2042683482170105,0.0003,-0.005384222316206433,-0.021044358611106873,0.2,-0.007635831832885742,0.004856666666666666,2498.0833333333335,,
13984,62464,,,4,61,,,0.013019117,3.7029265272991995e-06,0.11083984375,600,-1.2538568526506424,0.0003,-0.0024532130046281964,0.02333047427237034,0.2,0.2136291265487671,0.0046624,2498.16,,
14088,63488,,,4,62,,,0.01005681,2.867748296470074e-07,0.11689453125,610,-1.2786482378840447,0.0003,-0.0036014449113281445,0.026955438777804375,0.2,0.019669651985168457,0.0046624,2498.16,,
14193,64512,,,4,63,,,0.017507521,1.2738069160508904e-07,0.194140625,620,-1.245614092797041,0.0003,-0.008306752610951661,-0.027213826775550842,0.2,-0.07259631156921387,0.0046624,2498.16,,
14297,65536,,,4,64,,,0.0090102,1.9463979882561321e-07,0.0322265625,630,-1.216822872310877,0.0003,-0.0017658703480265103,0.018287600949406624,0.2,-0.03940534591674805,0.004483076923076923,2498.230769230769,,
14402,66560,,,4,65,,,0.012556214,3.577968816795285e-07,0.13193359375,640,-1.1791033565998077,0.0003,-0.009590870047395584,0.01068930421024561,0.2,0.1726728081703186,0.004483076923076923,2498.230769230769,,
